房屋标题,简述,浏览量,房屋总价,元/平,房屋户型,房本面积,房屋朝向,所在楼层,装修情况,产权年限,建筑年代,核心卖点,业主心态,服务介绍,核验编码,参考首付,小区均价,所在商圈,物业费,容积率,绿化率,车位信息,室,厅,卫,房屋朝向num,楼层高低num,楼层层数num,装修情况num,产权年限num,建筑年代num,参考首付num,月供num,小区均价num,所在商圈1num,所在商圈2num,recommend0,recommend1,recommend2,recommend3,recommend4,recommend5,recommend6,recommend7,recommend8,recommend9
宜城大三房出售，楼下沃尔玛成熟商业，楼上空中花园打造环境魅力,宜城大三房出售，楼下沃尔玛成熟商业，楼上空中花园打造环境魅力;售价：275万元（31214元/㎡）；房贷：首付约83万月供约（10190元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 高层/共31层；装修：精装修朝南；,36,275.0,31214,3室2厅2卫,88.1,南,高层/共31层,精装修,70年,2015年,房源亮点：小区环境优美，中间就是一个花园，绿化达40%，内设老人活动场所和儿童游乐园，生活设施完善，具有成熟的集优教育设施；楼下就是大型超市沃尔玛，商业发展已经成熟，生活购物娱乐十分便捷；出行方便附近就是国道、地铁、高速全方位立体交通网络面；小区对面就是坪地中学和坪地小学，上学无忧。户型简介：3房2厅，高楼层视野无遮挡，采光通风效果很好。装修描述：房子精装修，业主保养的很好，和图片一模一样。,业主想换到中心城带龙外学位的房子，诚心出售此套房源。全小区仅一套，错过难再续。,经纪人服务：有钥匙收取服务费：最高41250元(≤1.5%)本房源真实在售，本人及工作团队扎根于龙岗片区，专业匹配房源，带看房源，协助谈判签约，目前已成交一手房源77套，二手房源138套，租房300余套。本人服务：为您匹配房源--带您实地看房--带看满意--付意向--转定--签合同--首付--陪同贷款--交易过户--银行放款--交房--拿钥匙。本人承诺：1.不吃差价、不收红包，差价无理由双倍赔偿，可签订纸质协议；2.交易全程陪同，因我方原因造成您的损失，由我放全部承担；3.看房全程专。,深圳市城乡房产管理局：84154851321,82.5万（月供7893元/月）,31628.0元/㎡,龙岗区－坪地,2.80元/平米/月,4.03,40.0,757套在租,3,2,2,4,1,31,3,70,2015,82,7893,31628,8,81,155,321,135,84,322,57,314,75,120,130
理想家园 南北通透三房 满五唯一 业主急售 价格可议,理想家园 南北通透三房 满五唯一 业主急售 价格可议;售价：330.88万元（41593元/㎡）；房贷：首付约99万月供约（12306元）；产权：商品房（70年产权）2005年建；类型：普通住宅 塔楼 高层/共9层；装修：精装修朝南；,15,330.88,41593,3室2厅1卫,79.55,南,高层/共9层,精装修,70年,2005年,理想家园，别称理想新城，坐落于罗湖布心金稻田路，小区一共14栋，总共约1639户。1、【户型结构】：79.55平，3房2厅1卫，厅出阳台户型方正2、【学位情况】：贤义外国语九年义务教育 信义假日名城 百合外国语初中（名校）3：【房源产权】：产权清晰，满5年，家庭一套，无债务纠纷。4：【装修情况】：业主精装修，目前自住的，住家温馨舒适。5：业主诚心出售，价格方便有诚意可以沟通。源、真服务，为您选房—配房—带您看房—满意—付意向—转定—签合同—首付—陪同—交易过户—产证—放款—交房—拿钥匙。,1、业主因换房，名额限制，故诚心出售此房，看房随时方便。2、业主性格豪爽，价格可谈。,收取服务费：最高16544元(≤0.5%)【签约前】:为你匹配合适您的房子，进行房源产权审核确保交易顺利；【签约中】:签三方约，阳光保障，规避，精准计算购房过程中产生的费用；【签约后】:监管委托、按揭、过户、缴税取证交房，不用你们出面的我们帮你去完成这样可以帮您节省很多时间。,深圳市城乡房产管理局：暂未完成认证,99.264万（月供9497元/月）,42049.0元/㎡,布吉－信义,1.80元/平米/月,2.5,35.0,地下停车位：2300个,3,2,1,4,1,9,3,70,2005,99,9497,42049,3,69,13,359,131,217,362,269,290,232,150,151
70年产权梅沙中心位置 房子实际108万可卖 小户型 可落户,70年产权梅沙中心位置 房子实际108万可卖 小户型 可落户;售价：150万元（35739元/㎡）；房贷：首付约44万月供约（5626元）；产权：商品房（70年产权）2007年建；类型：其他 板楼 中层/共8层；装修：精装修朝东北；,32,150.0,35739,1室0厅1卫,41.97,东北,中层/共8层,精装修,70年,2007年,1：泊岸雅苑登记面积42平米的大单间，朝西南，户型方正实用，通风采光很好，有独立卫生间厨房的，出租可租到2500左右的价格，现返租给酒店管理了，目前也是小区便宜一套，单价2万6，总价108万，地铁一通买到就赚到了。2：泊岸雅苑醉性价比一套。,泊岸雅苑这个房东置换，诚心出售，欢迎看房，随时恭候您的电话。,"收取服务费：最高7500元(≤0.5%)执证经纪人J100314何述荣为你服务。本人承诺：所发布的每套房源都是真实存在、真实委托、真实价格，真实图片。让你的购房之旅放心,安心,舒心.保证每一位顾客的利益与权益,尽我所能做到，尽心服务,同时手上有很多资源。更多可以点击我的头像访问我的网上店铺.我将竭诚为你服务.",深圳市城乡房产管理局：暂未完成认证,45万（月供4304元/月）,41965.0元/㎡,盐田－大梅沙,3.50元/平米/月,4.3,65.0,室内130位 室外150位；车位费：室内￥250.00/月 室外￥150.00/月,1,0,1,1,2,8,3,70,2007,45,4304,41965,4,57,145,264,66,182,310,337,9,76,46,251
123找房，3字头精装小三房，低总价，大阳台，随时看房，,123找房，3字头精装小三房，低总价，大阳台，随时看房，;售价：395万元（47896元/㎡）；房贷：首付约118万月供约（14701元）；产权：商品房（70年产权）2004年建；类型：普通住宅 板塔结合 中层/共18层；装修：精装修朝南；,202,395.0,47896,3室2厅1卫,82.47,南,中层/共18层,精装修,70年,2004年,【房源亮点】一、低总价电梯小三房，厅出阳台朝南，阳台很大，中高楼层，通风采光效果很好；二、业主把生活阳台改成小房间，所以比同户型多了一个房间，更实用。三、满两年，税费少，有欠款，看房有钥匙随时方便；PS：图片价格真实有效，更多欢迎【小区配套】一、大型小区，配套成熟，有平峦山，生态园两大公园，空气清新绿化好；二、小区自带幼儿园，中澳实验学校（小学到高中部）；三、泳池，球场，大型超市，影院，餐厅，银行，只要您生活需要的都能满足。,低总价小三房，诚心出售，看房有钥匙，随时方便！,经纪人服务：有钥匙收取服务费：最高59250元(≤1.5%)1，以人为本、诚信，不报虚假价格来吸引客户，不吃任何差价，珍视每一份嘱托，一心一意只为圆您安家的梦想！2，如果您看到我的这条房源，感兴趣，可以打电话给我，我会详细给您介绍。3，如果不喜欢，那也没事，您也可以打电话给我，我手上还有其它房源，也可以给您介绍。4，真心真诚为您考虑周全，全程跟踪为您办理按揭手续。,深圳市城乡房产管理局：暂未完成认证,118.5万（月供11337元/月）,47849.0元/㎡,宝安－桃源居,2.30元/平米/月,2.1,20.0,466套在租,3,2,1,4,2,18,3,70,2004,118,11337,47849,9,72,223,359,11,150,274,353,217,268,151,107
刚需好盘（首付28万）主卧无敌视野，外国语学校，奥园翡翠东湾,刚需好盘（首付28万）主卧无敌视野，外国语学校，奥园翡翠东湾;售价：220万元（27302元/㎡）；房贷：首付约66万月供约（8173元）；产权：商品房（70年产权）2016年建；类型：普通住宅 板楼 中层/共33层；装修：精装修朝南；,34,220.0,27302,3室2厅1卫,80.58,南,中层/共33层,精装修,70年,2016年,A户型：65平，两房一卫两阳台，朝南向B户型：78平，三房一卫两阳台，东南向（次卧交房时开发商会帮您把房间改造好）D户型：88平，三房两卫两阳台，朝南向E户型：126平，四房两卫三阳台，南北通开发商为了拿更多的地，回拢资金，可以申请的优惠力度比较大，单价仅2.9-3万，低于备案价出售，非常值得出手，抄底好时机。,1、这个楼盘给人的眼印象就是跟惠州太近了，很多人觉得买这里还不如买惠州1万多的算了，其实这种想法的话也是对的。2、不过呢现在深圳很难找得到价格这么便宜的，65平的两房的小户型，况且现在首付又可以分期低至28万，又是地铁口的楼盘等一些优势，如果您有刚好的资金，无论您是投机还是自住，相对比买惠州来说，奥园翡翠东湾这个楼盘将是个不错的选择。,经纪人服务：有钥匙收取服务费：最高0元(≤0%)本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,66万（月供6315元/月）,29673.0元/㎡,坪山新区－坪山,3.60元/平米/月,4.0,40.0,91套在租,3,2,1,4,2,33,3,70,2016,66,6315,29673,1,11,148,371,55,201,314,123,303,300,135,62
东部翠海轩（会呼吸的小区）方正两房 高层采光通风都非常好,东部翠海轩（会呼吸的小区）方正两房 高层采光通风都非常好;售价：260万元（40303元/㎡）；房贷：首付约77万月供约（9712元）；产权：商品房（70年产权）2007年建；类型：普通住宅 板楼 高层/共12层；装修：精装修朝西南；,23,260.0,40303,2室2厅1卫,64.51,西南,高层/共12层,精装修,70年,2007年,低于市场价30万，满5年唯一住房，税少，业主急售，看房方便业主有心卖   看房也非常好配合 价格也是醉便宜一套装修保养得也很好,"东部翠海轩2007年竣工的电梯小高层住宅，紧靠梧桐山脚、天然氧吧，纯居家型花园小区小区总分为五个单元，楼高12层由一房两房为主打户型,有地面花园及地下车库（充足）管理费2.8元/平。",收取服务费：最高13000元(≤0.5%)【温馨提示】本人从事地产行业多年，银行贷款渠道关系已经打通，相信我，可以在批款和利息可以帮助到您。挑好房找小陈真心热情的服务只为换取您的放心。您好，我是中原置业顾问：小陈，熟悉广、深、惠、莞等新房二手房。全心服务，诚心为本，竭诚为您挑选适合您的好房源。仅需您的一个电话，随时为您服务。,深圳市城乡房产管理局：暂未完成认证,78万（月供7463元/月）,46979.0元/㎡,盐田－沙头角,2.50元/平米/月,3.2,25.0,室内130位 室外50位；车位费：室内250.00元/月 室外150.00元/月,2,2,1,7,1,12,3,70,2007,78,7463,46979,4,39,140,280,170,159,279,254,233,63,68,158
国际会展中心旁 鹏展汇 loft公寓 国际品牌酒店配套群环绕,国际会展中心旁 鹏展汇 loft公寓 国际品牌酒店配套群环绕;售价：188万元（37600元/㎡）；房贷：首付约56万月供约（7006元）；产权：商品房（50年产权）2018年建；类型：公寓 null 中层/共21层；装修：精装修朝南；,83,188.0,37600,2室2厅1卫,50.0,南,中层/共21层,精装修,50年,2018年,1. 小区位于火热的西部中心沙井，地理位置非常优越，交通便捷，占地5万平，建面约13万平，分两期开发，现售一期（整个小区只售一期），二期为酒店（国际会展中心品牌配套酒店群）一栋15层五洲际酒店，一栋24层五雅诗阁酒店，三栋18层酒店（品牌待定）。2. 周边配套齐全，成熟商圈环饶：老天虹、京基百纳、沃尔玛等成熟商圈再加上海岸城、太隆城大型在建商业综合体发展中心主轴3.,深圳国际会展中心建设占地约148万平，建成后将是世界大的会展场馆，将建立与世界对话的窗口，预计2019.9月正式投入使用。届时产生32万人次/日客流，每年吸引将近1000万高端商务人士流入，将推动周边酒店、公寓等物业的快速上涨，,收取服务费：最高0元(≤0%)您好房网梁文钦竭诚为您服务！！！地产做久了，跟客户的细谈中，慢慢的明白每个客户都不容易。有人为了小孩上学不惜背上巨额的房贷，有人为了安个四处筹首付~~~而我唯一能做的就是用我的真诚、善良、专业帮助到每一个信任我的客户，何以选择，唯有不辜负！好的相处就是你懂我的不容易，我也懂你的不容易！愿每一个浏览到我的的朋友们早日买到理想的房子！,深圳市城乡房产管理局：暂未完成认证,56.4万（月供5394元/月）,42428.0元/㎡,宝安－沙井,0.00元/平米/月,0.0,0.0,1套在租,2,2,1,4,2,21,3,50,2018,56,5394,42428,9,50,344,38,96,48,205,312,351,124,241,95
（高铁站 三条线地铁口交汇）70年产权红本 不限售即买即可卖,（高铁站 三条线地铁口交汇）70年产权红本 不限售即买即可卖;售价：92万元（16428元/㎡）；房贷：首付约27万月供约（3450元）；产权：商品房（70年产权）2013年建；类型：公寓 板楼 中层/共22层；装修：精装修朝南；,17,92.0,16428,1室1厅1卫,56.0,南,中层/共22层,精装修,70年,2013年,1.房屋仅需契税，不必担心十几二十万的高额税费。2.市面上的70年产权公寓，通燃气可明火做饭，带阳台采光无限。3.红本在手 税费少 无忧体验。4.花园小区，停车位管够。地铁邻居，旁边就是购物中心，自己也有商业。5.房屋出租和转手率极高，独特的产权和户型优势。,房屋交易繁杂，买房更是要慎重，慎之又慎。为了您能开开心心的买到心仪的房子，现在请您让专业的我来为您排忧解难吧！,收取服务费：最高4600元(≤0.5%)1：小区熟悉片区专业板块明朗2：专业的法律咨询顾问和按揭团队为您的买房保驾护航3：愿景就是帮每个人找到属于他/她的家,深圳市城乡房产管理局：暂未完成认证,27.6万（月供2641元/月）,15652.0元/㎡,龙岗区－龙岗中心城,0.00元/平米/月,0.0,0.0,704套在租,1,1,1,4,2,22,3,70,2013,27,2641,15652,8,32,364,251,209,167,97,376,46,360,298,35
坂田华为基地旁，十号线地铁口物业，酒店托管3年月反租9000,坂田华为基地旁，十号线地铁口物业，酒店托管3年月反租9000;售价：208万元（43333元/㎡）；房贷：首付约62万月供约（7749元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 高层/共33层；装修：精装修朝东南；,56,208.0,43333,2室1厅1卫,48.0,东南,高层/共33层,精装修,70年,2015年,佳兆业城市广场总占地31万平，建面180万平。分6期开发，每一期均有独立园林和幼儿园。旁边是深圳师范大学附属9年制，现在在建6期是25万平综合体。10号线雪像站和雪像北站分别在2期和6期旁边。佳兆业住宅收官之作佳兆业城市广场5期带精装修交房。,"找中介公司的优势：1、开发商付给我们的费用是广告费用中的一部分，与房子的价格没有任何,相当于广告费；2、价直接影响售楼员的晋升，售楼员是不会给您底价，但我们可以给您底价，甚至更低；3、客户物业找我们能有更多的选择，我们会站在客户的角度去给解决物业问题，不会浪费您物业的时间，让您买到合适的物业，省时省心省钱。您的来电就是对我的信任。竭诚为您服务。",经纪人服务：有钥匙收取服务费：最高41600元(≤2%)因为专注，所以专业；为您找房，购房省时又省心。不会因为单小而服务打折，更不会看钱办事，相信我一定可以为您找到更合适的房源，以上信息真实有效。欢迎来电、更多一手新盘请关注本人朋友圈。,深圳市城乡房产管理局：暂未完成认证,62.4万（月供5968元/月）,55019.0元/㎡,龙岗区－坂田,3.20元/平米/月,4.77,30.0,10000,2,1,1,9,1,33,3,70,2015,62,5968,55019,8,56,45,372,6,347,363,98,77,133,352,241
换到福田 现在着急了 红本在手民治地铁线物业 不靠马路 安静,换到福田 现在着急了 红本在手民治地铁线物业 不靠马路 安静;售价：668万元（76177元/㎡）；房贷：首付约200万月供约（24838元）；产权：商品房（70年产权）2012年建；类型：普通住宅 板楼 高层/共30层；装修：豪华装修朝南；,16,668.0,76177,3室2厅2卫,87.69,南,高层/共30层,豪华装修,70年,2012年,纯大学生团队房源多、服务好、大品牌，费用低目前已经实现全国一百五十多个城市的互通互联，选择我们就等于选择高性价比、高品质。【房源介绍】这套房子业主就是急卖，挂盘价比别人都要低，之前业主的房子也是我帮忙卖的，同样的户型，业主总是价格低的那套，而且业主价格还可以谈。【指数】诚心指数5颗星。我们团队是专业扎根深圳二手，不吃差价，不作私单，不收红包。,房东置换，诚心出售，欢迎看房，随时恭候您的到来。,经纪人服务：有钥匙收取服务费：最高46760元(≤0.7%)本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,200.4万（月供19170元/月）,68845.0元/㎡,龙华新区－民治,3.60元/平米/月,4.36,72.0,地面停车位150个，地下车库设二层，共有泊位3950个,3,2,2,4,1,30,4,70,2012,200,19170,68845,10,9,249,219,33,259,291,183,26,206,326,265
熙璟城 豪华装三房 中高层看花园 满五年 随时看房,熙璟城 豪华装三房 中高层看花园 满五年 随时看房;售价：325万元（37147元/㎡）；房贷：首付约97万月供约（12101元）；产权：商品房（70年产权）2014年建；类型：普通住宅 板楼 中层/共32层；装修：豪华装修朝东；,10,325.0,37147,3室2厅2卫,87.49,东,中层/共32层,豪华装修,70年,2014年,"1,户型简介：豪装三房，格局方正，使用面积大，住家舒适！2,装修描述：环保安全，干净整洁，之前自己住，注重保养3,产权状况：产权清晰，业主诚心出售！随时可查档，税费少！4,税费解析：满五年，税费少，欠款低，交易简便！！",业主因要转移工作地点，现诚意出售此房，随时配合看房。,经纪人服务：有钥匙收取服务费：最高65000元(≤2.0%)个人介绍本人从事房地产经纪行业已有3年，具有丰富的从业经验，在平湖生活已达10年，熟悉各个小区花园及周边配套和发展规划，为您合理科学的设计购房规划。本人从业期间办过商业贷款，公积金转按揭等各种业务，希望能有机会为您提供置业服务，为您找到心满意的家,深圳市城乡房产管理局：暂未完成认证,97.5万（月供9326元/月）,39190.0元/㎡,龙岗区－平湖,3.20元/平米/月,3.6,30.0,1600,3,2,2,3,2,32,4,70,2014,97,9326,39190,8,7,164,266,385,194,25,204,115,322,190,334
（刚需自住 居家3房）满五年红本在手 业主换房 可谈 急售,（刚需自住 居家3房）满五年红本在手 业主换房 可谈 急售;售价：172万元（19325元/㎡）；房贷：首付约51万月供约（6422元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 高层/共25层；装修：简单装修朝南北；,12,172.0,19325,3室2厅2卫,89.0,北,高层/共25层,简单装修,70年,2015年,1：红本在手 产权清晰 大大的缩短整体的交易时间 降低 2：小区绿化36％ 容积率2.8  物业费3元 停车位1：1.2 两梯四户 3：地铁口500直线 妇女老少步行五皆可到达 4：沃尔玛天虹超市就在小区旁边 一站式生活配套,房东置换，诚心出售，欢迎看房，随时恭候您的到来。,收取服务费：最高8600元(≤0.5%)本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时电话咨询，相信我的专业，为您置业安家保驾护航。,深圳市城乡房产管理局：暂未完成认证,51.6万（月供4937元/月）,18887.0元/㎡,罗湖－布心,1.00元/平米/月,0.0,0.0,11套在租,3,2,2,8,1,25,2,70,2015,51,4937,18887,7,77,84,185,379,180,78,394,239,247,5,69
御峰园高层看山精装两房 满五年免个税 學位未占用 随时看房,御峰园高层看山精装两房 满五年免个税 學位未占用 随时看房;售价：275万元（35215元/㎡）；房贷：首付约82万月供约（10243元）；产权：商品房（70年产权）2013年建；类型：普通住宅 板塔结合 中层/共33层；装修：精装修朝东；,89,275.0,35215,2室2厅1卫,78.09,东,中层/共33层,精装修,70年,2013年,"1,户型简介：精装二房，格局方正，使用面积大，住家舒适！2,装修描述：环保安全，干净整洁，之前自己住，注重保养3,产权状况：产权清晰，业主诚心出售！随时可查档，税费少！4,税费解析：满五年，税费少，银行欠款低，交易简便！！",业主因要转移工作地点，现诚意出售此房，随时配合看房。,收取服务费：最高13750元(≤0.5%)个人介绍本人从事房地产经纪行业已有3年，具有丰富的从业经验，在平湖生活已达10年，熟悉各个小区花园及周边配套和发展规划，为您合理科学的设计购房规划。本人从业期间办过商业贷款，公积金转按揭等各种业务，希望能有机会为您提供置业服务，为您找到心满意的家,深圳市城乡房产管理局：暂未完成认证,82.5万（月供7893元/月）,42249.0元/㎡,龙岗区－平湖,4.60元/平米/月,1.36,30.0,车位数量：500停车费用(元)：150/月,2,2,1,3,2,33,3,70,2013,82,7893,42249,8,7,174,241,95,119,126,351,128,74,277,77
（双轨线70年产权红本）地铁口实用LOFT公寓 双层赠送空间,（双轨线70年产权红本）地铁口实用LOFT公寓 双层赠送空间;售价：140万元（16091元/㎡）；房贷：首付约41万月供约（5254元）；产权：商品房（70年产权）2015年建；类型：普通住宅 板楼 高层/共25层；装修：精装修朝南北；,23,140.0,16091,2室2厅1卫,87.0,北,高层/共25层,精装修,70年,2015年,1：红本在手 产权清晰 大大的缩短整体的交易时间 降低2：小区绿化36％ 容积率2.8 物业费3元 停车位1：1.2 两梯四户3：地铁口500直线距离 妇女老少步行五皆可到达4：沃尔玛天虹超市就在小区旁边 一站式生活配套,房屋交易繁杂，买房更是要慎重，慎之又慎。为了您能开开心心的买到心仪的房子，现在请您让专业的我来为您排忧解难吧！,经纪人服务：有钥匙收取服务费：最高7000元(≤0.5%)1：小区熟悉片区专业板块明朗2：专业的法律咨询顾问和按揭团队为您的买房保驾护航3：愿景就是帮每个人找到属于他/她的家,深圳市城乡房产管理局：暂未完成认证,42万（月供4019元/月）,15896.0元/㎡,龙华新区－清湖,2.00元/平米/月,2.0,30.0,"3:2地下停车位,186个地下停车位",2,2,1,8,1,25,3,70,2015,42,4019,15896,10,65,221,386,185,105,104,255,339,157,399,189
满五税费少  红山地铁站沃尔玛楼上  带车位龙华实验学校,满五税费少  红山地铁站沃尔玛楼上  带车位龙华实验学校;售价：430万元（55699元/㎡）；房贷：首付约128万月供约（16028元）；产权：商品房（70年产权）2011年建；类型：普通住宅 板楼 中层/共30层；装修：豪华装修朝南；,30,430.0,55699,2室2厅1卫,77.2,南,中层/共30层,豪华装修,70年,2011年,1、满五年，欠款少，税费低2、户型方正，厅出阳台，次卧放下1.5米的床外还有空间归置3、龙华实验学位未占用，小学加初中，九年一贯制教育，学校在小区对面4、楼下就是沃尔玛超市，100米处九方购物中心、华润万家和佐伶购物中心5、红山、深圳北4号地铁线，去福田、南山、龙岗都方便快速,【1】业主诚心出售此房，价格可以再谈，欢迎看房。【2】业主是一手买过来的，产权清晰无纠纷，可放心交易。【3】业主换新房，决定将此房产低于市场价出售性价比高，买到就是ZHUAN到,经纪人服务：有钥匙收取服务费：最高21500元(≤0.5%)还有相同户型和不同户型可以一起看做个对比。。。本人从事房地产多年，公司有大量好房源，欢迎进入我的店铺查看，欢迎随时咨询，相信我的专业，为您置业安家保驾护航.,深圳市城乡房产管理局：暂未完成认证,129万（月供12340元/月）,72514.0元/㎡,龙华新区－莱蒙水榭春天,3.10元/平米/月,3.44,35.0,2904套在租,2,2,1,4,2,30,4,70,2011,129,12340,72514,10,22,276,286,229,146,125,370,93,294,169,191
